-38.8162	7.3166e-08
-38.1231	9.00998e-08
-38.8162	9.98043e-08
-38.1231	1.10428e-07
-38.8162	1.22047e-07
-38.1231	1.34744e-07
-38.1231	1.63738e-07
-38.1231	1.982e-07
-38.1231	2.39042e-07
-38.1231	2.87311e-07
-38.1231	3.44208e-07
-38.1231	4.11104e-07
-38.1231	4.89569e-07
-38.1231	5.81394e-07
-38.1231	6.88616e-07
-38.1231	8.13554e-07
-38.1231	9.58842e-07
-38.1231	1.04004e-06
-38.1231	1.12747e-06
-38.1231	1.22157e-06
-38.1231	1.32281e-06
-37.4299	1.43168e-06
-37.4299	1.5487e-06
-37.0245	1.67443e-06
-37.0245	1.80945e-06
-36.7368	1.95441e-06
-36.7368	2.10995e-06
-36.5137	2.2768e-06
-36.7368	2.45569e-06
-36.5137	2.64743e-06
-36.5137	2.85285e-06
-36.3313	3.07286e-06
-36.3313	3.30839e-06
-36.1772	3.56046e-06
-36.3313	3.83012e-06
-36.0437	4.1185e-06
-36.1772	4.42679e-06
-36.0437	4.75626e-06
-36.0437	5.10823e-06
-36.0437	5.48412e-06
-36.0437	5.88542e-06
-35.9259	6.3137e-06
-36.0437	6.77064e-06
-35.9259	7.258e-06
-36.0437	7.77763e-06
-36.0437	8.33151e-06
-36.0437	8.9217e-06
-36.0437	9.5504e-06
-35.8205	1.02199e-05
-35.8205	1.09327e-05
-35.8205	1.16913e-05
-35.8205	1.24985e-05
-35.8205	1.33571e-05
-35.8205	1.42701e-05
-35.6382	1.52407e-05
-35.8205	1.62722e-05
-35.484	1.73683e-05
-35.8205	1.85325e-05
-35.484	1.97689e-05
-35.8205	2.10815e-05
-35.484	2.24747e-05
-35.8205	2.3953e-05
-35.484	2.55212e-05
-35.8205	2.71845e-05
-35.484	2.8948e-05
-35.8205	3.08175e-05
-35.484	3.27987e-05
-35.8205	3.48978e-05
-35.484	3.71213e-05
-35.6382	3.94761e-05
-35.484	4.19692e-05
-35.6382	4.46083e-05
-35.484	4.74011e-05
-35.6382	5.0356e-05
-35.484	5.34816e-05
-35.6382	5.67871e-05
-35.3505	6.0282e-05
-35.6382	6.39764e-05
-35.3505	6.78809e-05
-35.484	7.20063e-05
-35.3505	7.63644e-05
-35.3505	8.09672e-05
